Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-31 07:30:25,westnathan@gmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:10:57,wturner@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 08:17:42,hansenamy@gmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 09:05:30,joseph05@cowan.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 13:18:38,garciaandrew@hays-kramer.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 18:34:42,alyssapowell@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 10:02:20,shannonparker@hotmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 06:12:37,hoffmanbrittany@hotmail.com,Similar lifestyle & interests,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 18:47:02,stephanie37@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:10:51,martinfrancis@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 03:05:01,michaelcarter@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 22:33:13,lisa54@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 12:07:08,zimmermankristin@pierce.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 05:46:09,stevensjoshua@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 18:29:57,newtonadam@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 09:50:30,kellyaguirre@hoffman.biz,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 12:56:31,christopher76@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,I prefer completely different hobbies
2025-08-31 09:22:26,vanessa46@hotmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 06:50:18,leah92@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 01:56:57,mwilliams@lawrence-estes.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 00:38:26,brownbrittany@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 02:39:26,rebeccaschneider@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 18:37:43,erin98@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 06:28:35,longgary@bailey-cervantes.info,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 21:34:28,michellegarcia@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 20:58:52,lwalker@foster.net,Cleanliness & hygiene,Early bird,Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 17:04:46,pmayo@galvan-green.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 01:56:33,pstout@benson.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 07:51:35,ortizkevin@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 21:01:53,analopez@hotmail.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 07:19:54,abarron@brooks.info,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 18:11:37,trevor50@jones-burke.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 17:55:06,shawelizabeth@johnson.info,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 20:51:14,lindsey33@farley.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 06:05:22,tammymiddleton@patton.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 03:06:03,hduncan@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 17:39:52,icampbell@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 01:07:10,hintonmaria@yahoo.com,Similar lifestyle & interests,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 12:17:20,michellevance@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 17:31:41,hrice@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 12:18:59,emilycampos@hotmail.com,Study/Work habits,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 07:42:10,karenjames@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 01:17:23,mcbridemichael@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),Doesn’t matter to me,Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 00:37:31,kevin25@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 21:00:41,steven66@russell-everett.biz,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-30 20:37:08,megan35@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 00:44:11,chadrogers@campbell.info,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 11:01:18,rosemitchell@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 12:55:10,vicki44@hotmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 13:21:42,benjaminhayes@gmail.com,Similar lifestyle & interests,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 18:10:35,vfaulkner@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,Doesn’t matter to me,"Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 22:25:04,amandamathis@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 04:34:52,dharvey@garrett.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 15:52:18,helen97@lambert.org,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 03:12:58,ryanwilson@rogers.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 22:28:16,whitepatrick@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 07:39:54,huntwendy@jones.net,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 04:04:55,davenportlori@yahoo.com,Study/Work habits,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 06:39:24,fuenteskevin@johnson-mann.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 22:29:28,samuelweeks@mitchell-gillespie.net,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 23:33:29,butlerbarbara@washington-nelson.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 21:35:52,rthompson@gonzalez.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 15:56:15,hardykatherine@valdez.com,Study/Work habits,Early bird,Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 12:14:26,rtaylor@yahoo.com,Similar lifestyle & interests,Early bird,Very social (likes to hang out often),Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 21:57:29,greenjack@roman.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 11:50:35,igonzalez@stone-fowler.biz,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 02:50:36,joshua20@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 05:21:16,gscott@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 08:48:46,ymorris@yahoo.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 12:24:24,susan96@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-30 16:47:12,wellscarolyn@wilkins-johnson.info,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 03:13:31,atkinscharles@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 04:21:19,amber28@ramirez.info,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 16:38:17,walterdavis@hotmail.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 03:41:23,johnandrews@reed.biz,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 17:22:06,teresa12@martin.net,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 21:13:18,toddalicia@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 04:21:42,erinwatkins@harris.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 23:28:29,michellekramer@dillon.org,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 20:09:05,gbaker@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 10:55:29,jennifer26@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 05:08:20,pwelch@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 03:29:50,zbutler@guerrero.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 15:40:48,justin04@gross.com,Cleanliness & hygiene,Early bird,Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 19:47:26,hrosario@chavez.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 23:11:31,william65@delacruz-gutierrez.biz,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 00:59:19,kaylee24@bailey.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 21:39:45,awalker@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 07:11:37,njohnson@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 05:24:13,taylorsarah@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 10:38:16,cchen@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 06:13:43,thompsonvincent@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 23:56:34,jenniferwilson@armstrong.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 09:22:43,rmatthews@fernandez.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 22:51:03,collinstaylor@gmail.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 05:56:05,shane50@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,I prefer completely different hobbies
2025-08-31 02:18:21,wcook@thompson.org,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 03:37:29,todd99@walker.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 07:24:24,nicholstony@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 23:14:37,mariah84@yahoo.com,Friendly & cooperative nature,Early bird,Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,I prefer completely different hobbies
2025-08-30 05:11:36,avalencia@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 01:35:39,kevin40@leon.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 17:12:15,xharris@phelps-garcia.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 19:56:34,orosales@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 13:02:23,kwilliams@ruiz-rosario.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 09:31:54,smithsarah@cunningham.com,Friendly & cooperative nature,Doesn’t matter to me,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 20:49:55,ijordan@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 09:06:52,millerjohn@brown-west.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 08:05:44,destiny78@yahoo.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 16:37:45,hporter@hotmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 12:20:50,bdaniel@benson-gilmore.info,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 08:37:22,alicia14@hotmail.com,Study/Work habits,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 17:27:09,julieharrison@davis.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 13:26:31,robert74@anderson-woods.com,Study/Work habits,Flexible (adjusts as needed),Mostly private (values personal space more),I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:49:21,jenna09@lopez.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 09:10:10,william35@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 16:24:14,beasleylisa@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 10:05:27,catherinefowler@nunez.net,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 13:17:11,johnadams@mason-roy.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 15:21:35,isantos@alexander-bates.info,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 06:27:01,petersonkimberly@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 14:32:11,lfox@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 18:36:32,jenna81@gmail.com,Cleanliness & hygiene,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 22:17:42,ayoung@yahoo.com,Cleanliness & hygiene,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 04:16:03,iwilson@brown.com,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 06:17:12,leedarren@sullivan.info,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 22:10:06,scampbell@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
